Organization,Type,Years,Allocation
Al-Bayan,PUB,13,"$1,784 "
Alternative Breaks Publishing Group,PUB,11,$909 
BARE Magazine,PUB,7,"$1,275 "
Berkeley Fiction Review,PUB,30,$960 
Berkeley Poetry Review,PUB,19,"$1,530 "
Berkeley Political Review,PUB,12,"$5,035 "
Berkeley Science Review,PUB,13,$0 
byte of Berkeley,PUB,1,$400 
Cal Literature & Arts Magazine,PUB,16,"$1,464 "
Caliber Magazine,PUB,4,"$1,734 "
California Patriot,PUB,2,$800 
CalTV,PUB,9,"$6,500 "
Clio's Scroll,PUB,14,"$1,122 "
Folio,PUB,2,$800 
hardboiled newsmagazine,PUB,17,"$4,738 "
Heuristic Squelch,PUB,17,"$8,000 "
Maganda Magazine,PUB,24,"$1,624 "
Onyx Express Publications,PUB,18,"$3,910 "
Perspective Magazine,PUB,17,"$2,244 "
Premed Perspective,PUB,9,"$1,000 "
Public Health Advocate,PUB,9,$320 
Sather Health,PUB,3,$723 
Science of Wellness,PUB,2,$800 
SeaChange Magazine,PUB,1,$400 
Smart Ass,PUB,15,"$3,452 "
To An Unknown God: A Journal of Christian Thought at Berkeley,PUB,5,"$2,857 "
"Troika: An Undergraduate Journal in Slavic, East European, and Eurasian Studies",PUB,2,$800 
Univeristy of California Compartive Literature Undergraduate Journal,PUB,2,$374 
Vagabond Multilingual Journal,PUB,1,$0 
3D Modeling Club,SAG,1,$150 
Abba Modern,SAG,2,$300 
Acts2Fellowship,SAG,12,"$2,864 "
Adoptee University,SAG,2,$300 
AFX Dance,SAG,1,$150 
Alpha Beta Consulting,SAG,1,$150 
Alpha Epsilon Zeta,SAG,9,$819 
Alpha Kappa Psi,SAG,3,$450 
Alpha Phi Omega,SAG,28,"$1,337 "
Alpha Sigma Nu,SAG,1,$0 
Ambience,SAG,2,$0 
American Institute for Architecture Students,SAG,5,$428 
American Marketing Association,SAG,1,$150 
American Medical Student Association,SAG,15,$643 
American Nuclear Society,SAG,6,$0 
American Parliamentary Debate Association Society,SAG,2,$300 
Anthropology Undergraduate Association,SAG,3,$90 
Arab Student Union,SAG,3,$450 
Argentine Tango Club of Berkeley,SAG,3,$310 
Armenian Students' Association,SAG,31,"$2,797 "
Ascend,SAG,5,$0 
Asha for Education,SAG,9,$750 
Asian Pacific American Coalition,SAG,14,"$1,712 "
Assocation of Muslims Professional Development,SAG,7,$666 
Association of Psychology Undergraduates,SAG,14,$150 
Azaad,SAG,1,$0 
Ballet Company @ Berkeley,SAG,2,$0 
"BAMN - Coalition to Defend Affirmative Action, Integration, and Immigrant Rights and Fight for Equality By Any Means Necessary",SAG,15,"$3,065 "
Bengali Students Association,SAG,1,$150 
BerKast,SAG,1,$150 
Berkeley Ballroom,SAG,10,"$1,311 "
Berkeley Bhangra Club,SAG,6,$0 
Berkeley Carillon Guild,SAG,10,$530 
Berkeley Chapter of the Society for Conservation Biology,SAG,1,$150 
Berkeley Chinese Students and Scholars Association,SAG,9,$0 
Berkeley College Republican,SAG,18,"$3,060 "
Berkeley Consulting,SAG,14,$0 
Berkeley Environmental Economics and Policy Students (BEEPS),SAG,1,$0 
Berkeley Forum,SAG,2,$0 
Berkeley Group,SAG,11,$918 
Berkeley Investment Group,SAG,2,$0 
Berkeley Legal Studies Association,SAG,14,$150 
Berkeley National Organization for Women,SAG,15,"$1,200 "
Berkeley Organization for Animal Advocacy,SAG,14,$918 
Berkeley Undergraduate Sociology Association,SAG,6,$150 
Berkeley Women in Business,SAG,11,$150 
Bezerkeley,SAG,4,$627 
Bioengineering Honor Society (BioEHS),SAG,11,$0 
Black Student Union,SAG,4,$212 
Black Students in Health Association,SAG,1,$150 
Blues at Berkeley,SAG,2,$300 
Cal Actuarial League,SAG,9,$0 
Cal Animage Alpha,SAG,3,$350 
Cal Berkeley Democrats,SAG,16,"$4,656 "
Cal Dragon Boat,SAG,9,$500 
Cal Hawai`i Club,SAG,27,"$1,838 "
Cal Hiking and Outdoor Society (CHAOS),SAG,63,$559 
Cal in the Capital,SAG,36,"$2,033 "
Cal Institute of Transportation Engineers (ITE),SAG,7,$0 
