artistName,endTime,source,trackName,valence,duration_ms
"Grover Washington, Jr.",2019-02-08 04:58,0,Just the Two of Us (feat. Bill Withers),0.624,237106.0
Eminem,2019-02-08 05:00,0,Good Guy (feat. Jessie Reyez),0.728,142192.0
Mac Miller,2019-02-08 05:01,0,Cinderella (feat. Ty Dolla $ign),0.24,480187.0
Jennifer Holliday,2019-02-08 05:02,0,And I Am Telling You I'm Not Going,0.22,246293.0
Ludacris,2019-02-08 05:06,0,Good Lovin,0.598,223440.0
Los Tigres Del Norte,2019-02-08 05:09,0,La Puerta Negra,0.969,203587.0
Sheck Wes,2019-02-08 05:12,0,Mo Bamba,0.261,183907.0
Juanes,2019-02-08 05:16,0,A Dios Le Pido,0.94,205373.0
Bad Bunny,2019-02-08 05:16,0,Desde el Corazón,0.368,127040.0
Juanes,2019-02-08 05:16,0,Es Por Tí,0.859,250693.0
Daniel Caesar,2019-02-08 05:16,0,Blessed,0.451,241371.0
Run The Jewels,2019-02-08 05:16,0,Legend Has It,0.467,205867.0
Maná,2019-02-08 05:16,0,Me Vale,0.753,271320.0
Ludacris,2019-02-08 05:16,0,My Chick Bad,0.757,216933.0
Bad Bunny,2019-02-08 05:19,0,Desde el Corazón,0.368,127040.0
Juanes,2019-02-08 05:22,0,A Dios Le Pido,0.94,205373.0
Juan Gabriel,2019-02-08 05:26,0,No Tengo Dinero,0.927,186373.0
T-Pain,2019-02-08 05:26,0,Bartender (feat. Akon),0.405,238800.0
McCafferty,2019-02-08 21:52,0,Beachboy,0.75,199341.0
Limbo,2019-02-08 21:55,0,Airplane Mode,0.07,164113.0
21 Savage,2019-02-08 22:00,0,a lot,0.274,288624.0
Billie Eilish,2019-02-08 22:04,0,Bellyache - Marian Hill Remix,0.2,220800.0
Flight Facilities,2019-02-08 22:08,0,Crave You,0.317,234787.0
Alejandro Fernandez,2019-02-08 22:08,0,Nube Viajera,0.498,244133.0
Nio Garcia,2019-02-08 22:15,0,Te Boté - Remix,0.442,417920.0
Mac Miller,2019-02-08 22:21,0,Jet Fuel,0.284,345213.0
Bad Bunny,2019-02-08 23:37,0,Solo de Mi,0.15,197968.0
McCafferty,2019-02-08 23:41,0,Beachboy,0.75,199341.0
Limbo,2019-02-08 23:43,0,Airplane Mode,0.07,164113.0
21 Savage,2019-02-08 23:48,0,a lot,0.274,288624.0
AJR,2019-02-08 23:52,0,Sober Up,0.772,218763.0
JPEGMAFIA,2019-02-08 23:55,0,Thug Tears,0.779,198310.0
